Year,Period,Area,Income Source,Income Type,Income
"2013","Annual","Longview MSA","BEA","Per Capita Personal Income - BEA","$40,763"
"2012","Annual","Longview MSA","BEA","Per Capita Personal Income - BEA","$40,886"
"2011","Annual","Longview MSA","BEA","Per Capita Personal Income - BEA","$40,376"
"2010","Annual","Longview MSA","BEA","Per Capita Personal Income - BEA","$36,678"
"2009","Annual","Longview MSA","BEA","Per Capita Personal Income - BEA","$36,254"
"2008","Annual","Longview MSA","BEA","Per Capita Personal Income - BEA","$39,586"
"2007","Annual","Longview MSA","BEA","Per Capita Personal Income - BEA","$34,200"
"2006","Annual","Longview MSA","BEA","Per Capita Personal Income - BEA","$31,914"
"2005","Annual","Longview MSA","BEA","Per Capita Personal Income - BEA","$29,180"
"2004","Annual","Longview MSA","BEA","Per Capita Personal Income - BEA","$26,856"
"2003","Annual","Longview MSA","BEA","Per Capita Personal Income - BEA","$26,759"
"2002","Annual","Longview MSA","BEA","Per Capita Personal Income - BEA","$25,880"
"2001","Annual","Longview MSA","BEA","Per Capita Personal Income - BEA","$25,783"
"2000","Annual","Longview MSA","BEA","Per Capita Personal Income - BEA","$24,869"
"1999","Annual","Longview MSA","BEA","Per Capita Personal Income - BEA","$22,924"
"1998","Annual","Longview MSA","BEA","Per Capita Personal Income - BEA","$22,525"
"2015","Annual","Lubbock MSA","BEA","Per Capita Personal Income - BEA","$38,392"
"2014","Annual","Lubbock MSA","BEA","Per Capita Personal Income - BEA","$37,283"
"2013","Annual","Lubbock MSA","BEA","Per Capita Personal Income - BEA","$36,474"
"2012","Annual","Lubbock MSA","BEA","Per Capita Personal Income - BEA","$35,834"
"2011","Annual","Lubbock MSA","BEA","Per Capita Personal Income - BEA","$34,228"
"2010","Annual","Lubbock MSA","BEA","Per Capita Personal Income - BEA","$33,125"
"2009","Annual","Lubbock MSA","BEA","Per Capita Personal Income - BEA","$32,110"
"2008","Annual","Lubbock MSA","BEA","Per Capita Personal Income - BEA","$32,506"
"2007","Annual","Lubbock MSA","BEA","Per Capita Personal Income - BEA","$30,655"
"2006","Annual","Lubbock MSA","BEA","Per Capita Personal Income - BEA","$29,077"
"2005","Annual","Lubbock MSA","BEA","Per Capita Personal Income - BEA","$28,050"
"2004","Annual","Lubbock MSA","BEA","Per Capita Personal Income - BEA","$26,499"
"2003","Annual","Lubbock MSA","BEA","Per Capita Personal Income - BEA","$25,934"
"2002","Annual","Lubbock MSA","BEA","Per Capita Personal Income - BEA","$24,989"
"2001","Annual","Lubbock MSA","BEA","Per Capita Personal Income - BEA","$24,322"
"2000","Annual","Lubbock MSA","BEA","Per Capita Personal Income - BEA","$24,110"
"1999","Annual","Lubbock MSA","BEA","Per Capita Personal Income - BEA","$22,922"
"1998","Annual","Lubbock MSA","BEA","Per Capita Personal Income - BEA","$22,461"
"2015","Annual","McAllen-Edinburg-Mission MSA","BEA","Per Capita Personal Income - BEA","$24,579"
"2014","Annual","McAllen-Edinburg-Mission MSA","BEA","Per Capita Personal Income - BEA","$23,658"
"2013","Annual","McAllen-Edinburg-Mission MSA","BEA","Per Capita Personal Income - BEA","$22,986"
"2012","Annual","McAllen-Edinburg-Mission MSA","BEA","Per Capita Personal Income - BEA","$22,731"
"2011","Annual","McAllen-Edinburg-Mission MSA","BEA","Per Capita Personal Income - BEA","$22,395"
"2010","Annual","McAllen-Edinburg-Mission MSA","BEA","Per Capita Personal Income - BEA","$21,718"
"2009","Annual","McAllen-Edinburg-Mission MSA","BEA","Per Capita Personal Income - BEA","$21,171"
"2008","Annual","McAllen-Edinburg-Mission MSA","BEA","Per Capita Personal Income - BEA","$20,616"
"2007","Annual","McAllen-Edinburg-Mission MSA","BEA","Per Capita Personal Income - BEA","$19,477"
"2006","Annual","McAllen-Edinburg-Mission MSA","BEA","Per Capita Personal Income - BEA","$18,670"
"2005","Annual","McAllen-Edinburg-Mission MSA","BEA","Per Capita Personal Income - BEA","$17,917"
"2004","Annual","McAllen-Edinburg-Mission MSA","BEA","Per Capita Personal Income - BEA","$16,956"
"2003","Annual","McAllen-Edinburg-Mission MSA","BEA","Per Capita Personal Income - BEA","$16,156"
"2002","Annual","McAllen-Edinburg-Mission MSA","BEA","Per Capita Personal Income - BEA","$15,499"
"2001","Annual","McAllen-Edinburg-Mission MSA","BEA","Per Capita Personal Income - BEA","$14,831"
"2000","Annual","McAllen-Edinburg-Mission MSA","BEA","Per Capita Personal Income - BEA","$14,068"
"1999","Annual","McAllen-Edinburg-Mission MSA","BEA","Per Capita Personal Income - BEA","$13,260"
"1998","Annual","McAllen-Edinburg-Mission MSA","BEA","Per Capita Personal Income - BEA","$13,074"
"2015","Annual","Midland MSA","BEA","Per Capita Personal Income - BEA","$104,714"
"2014","Annual","Midland MSA","BEA","Per Capita Personal Income - BEA","$118,695"
"2013","Annual","Midland MSA","BEA","Per Capita Personal Income - BEA","$111,464"
"2012","Annual","Midland MSA","BEA","Per Capita Personal Income - BEA","$107,887"
"2011","Annual","Midland MSA","BEA","Per Capita Personal Income - BEA","$94,880"
"2010","Annual","Midland MSA","BEA","Per Capita Personal Income - BEA","$70,557"
"2009","Annual","Midland MSA","BEA","Per Capita Personal Income - BEA","$59,395"
"2008","Annual","Midland MSA","BEA","Per Capita Personal Income - BEA","$87,266"
"2007","Annual","Midland MSA","BEA","Per Capita Personal Income - BEA","$61,714"
"2006","Annual","Midland MSA","BEA","Per Capita Personal Income - BEA","$63,297"
"2005","Annual","Midland MSA","BEA","Per Capita Personal Income - BEA","$60,028"
"2004","Annual","Midland MSA","BEA","Per Capita Personal Income - BEA","$53,051"
"2003","Annual","Midland MSA","BEA","Per Capita Personal Income - BEA","$52,179"
"2002","Annual","Midland MSA","BEA","Per Capita Personal Income - BEA","$48,358"
"2001","Annual","Midland MSA","BEA","Per Capita Personal Income - BEA","$48,752"
"2000","Annual","Midland MSA","BEA","Per Capita Personal Income - BEA","$32,305"
"1999","Annual","Midland MSA","BEA","Per Capita Personal Income - BEA","$28,729"
"1998","Annual","Midland MSA","BEA","Per Capita Personal Income - BEA","$29,515"
"2015","Annual","Odessa MSA","BEA","Per Capita Personal Income - BEA","$45,806"
"2014","Annual","Odessa MSA","BEA","Per Capita Personal Income - BEA","$49,768"
"2013","Annual","Odessa MSA","BEA","Per Capita Personal Income - BEA","$45,650"
"2012","Annual","Odessa MSA","BEA","Per Capita Personal Income - BEA","$45,883"
"2011","Annual","Odessa MSA","BEA","Per Capita Personal Income - BEA","$40,149"
"2010","Annual","Odessa MSA","BEA","Per Capita Personal Income - BEA","$35,047"
"2009","Annual","Odessa MSA","BEA","Per Capita Personal Income - BEA","$32,985"
"2008","Annual","Odessa MSA","BEA","Per Capita Personal Income - BEA","$36,562"
"2007","Annual","Odessa MSA","BEA","Per Capita Personal Income - BEA","$32,273"
"2006","Annual","Odessa MSA","BEA","Per Capita Personal Income - BEA","$29,461"
"2005","Annual","Odessa MSA","BEA","Per Capita Personal Income - BEA","$25,867"
"2004","Annual","Odessa MSA","BEA","Per Capita Personal Income - BEA","$23,634"
"2003","Annual","Odessa MSA","BEA","Per Capita Personal Income - BEA","$23,355"
"2002","Annual","Odessa MSA","BEA","Per Capita Personal Income - BEA","$23,020"
"2001","Annual","Odessa MSA","BEA","Per Capita Personal Income - BEA","$22,749"
"2000","Annual","Odessa MSA","BEA","Per Capita Personal Income - BEA","$21,216"
"1999","Annual","Odessa MSA","BEA","Per Capita Personal Income - BEA","$19,361"
"1998","Annual","Odessa MSA","BEA","Per Capita Personal Income - BEA","$20,230"
"2015","Annual","San Angelo MSA","BEA","Per Capita Personal Income - BEA","$44,072"
"2014","Annual","San Angelo MSA","BEA","Per Capita Personal Income - BEA","$43,791"
"2013","Annual","San Angelo MSA","BEA","Per Capita Personal Income - BEA","$40,779"
"2012","Annual","San Angelo MSA","BEA","Per Capita Personal Income - BEA","$40,152"
"2011","Annual","San Angelo MSA","BEA","Per Capita Personal Income - BEA","$38,592"
"2010","Annual","San Angelo MSA","BEA","Per Capita Personal Income - BEA","$36,515"
"2009","Annual","San Angelo MSA","BEA","Per Capita Personal Income - BEA","$35,272"
"2008","Annual","San Angelo MSA","BEA","Per Capita Personal Income - BEA","$38,184"
"2007","Annual","San Angelo MSA","BEA","Per Capita Personal Income - BEA","$33,467"
"2006","Annual","San Angelo MSA","BEA","Per Capita Personal Income - BEA","$31,915"
"2005","Annual","San Angelo MSA","BEA","Per Capita Personal Income - BEA","$30,672"
"2004","Annual","San Angelo MSA","BEA","Per Capita Personal Income - BEA","$28,644"
"2003","Annual","San Angelo MSA","BEA","Per Capita Personal Income - BEA","$28,314"
"2002","Annual","San Angelo MSA","BEA","Per Capita Personal Income - BEA","$27,141"
"2001","Annual","San Angelo MSA","BEA","Per Capita Personal Income - BEA","$26,628"
"2000","Annual","San Angelo MSA","BEA","Per Capita Personal Income - BEA","$24,147"
"1999","Annual","San Angelo MSA","BEA","Per Capita Personal Income - BEA","$23,090"
"1998","Annual","San Angelo MSA","BEA","Per Capita Personal Income - BEA","$22,564"
"2015","Annual","San Antonio-New Braunfels MSA","BEA","Per Capita Personal Income - BEA","$43,535"
"2014","Annual","San Antonio-New Braunfels MSA","BEA","Per Capita Personal Income - BEA","$42,027"
"2013","Annual","San Antonio-New Braunfels MSA","BEA","Per Capita Personal Income - BEA","$39,915"
"2012","Annual","San Antonio-New Braunfels MSA","BEA","Per Capita Personal Income - BEA","$39,146"
"2011","Annual","San Antonio-New Braunfels MSA","BEA","Per Capita Personal Income - BEA","$38,207"
"2010","Annual","San Antonio-New Braunfels MSA","BEA","Per Capita Personal Income - BEA","$35,661"
"2009","Annual","San Antonio-New Braunfels MSA","BEA","Per Capita Personal Income - BEA","$34,588"
"2008","Annual","San Antonio-New Braunfels MSA","BEA","Per Capita Personal Income - BEA","$36,472"
"2007","Annual","San Antonio-New Braunfels MSA","BEA","Per Capita Personal Income - BEA","$34,545"
"2006","Annual","San Antonio-New Braunfels MSA","BEA","Per Capita Personal Income - BEA","$33,218"
"2005","Annual","San Antonio-New Braunfels MSA","BEA","Per Capita Personal Income - BEA","$31,329"
"2004","Annual","San Antonio-New Braunfels MSA","BEA","Per Capita Personal Income - BEA","$29,683"
"2003","Annual","San Antonio-New Braunfels MSA","BEA","Per Capita Personal Income - BEA","$28,981"
"2002","Annual","San Antonio-New Braunfels MSA","BEA","Per Capita Personal Income - BEA","$27,917"
"2001","Annual","San Antonio-New Braunfels MSA","BEA","Per Capita Personal Income - BEA","$27,614"
"2000","Annual","San Antonio-New Braunfels MSA","BEA","Per Capita Personal Income - BEA","$26,803"
"1999","Annual","San Antonio-New Braunfels MSA","BEA","Per Capita Personal Income - BEA","$24,871"
"1998","Annual","San Antonio-New Braunfels MSA","BEA","Per Capita Personal Income - BEA","$23,863"
"2015","Annual","Sherman-Denison MSA","BEA","Per Capita Personal Income - BEA","$39,181"
"2014","Annual","Sherman-Denison MSA","BEA","Per Capita Personal Income - BEA","$37,743"
"2013","Annual","Sherman-Denison MSA","BEA","Per Capita Personal Income - BEA","$35,988"
"2012","Annual","Sherman-Denison MSA","BEA","Per Capita Personal Income - BEA","$35,430"
"2011","Annual","Sherman-Denison MSA","BEA","Per Capita Personal Income - BEA","$33,755"
"2010","Annual","Sherman-Denison MSA","BEA","Per Capita Personal Income - BEA","$32,016"
"2009","Annual","Sherman-Denison MSA","BEA","Per Capita Personal Income - BEA","$31,709"
"2008","Annual","Sherman-Denison MSA","BEA","Per Capita Personal Income - BEA","$33,007"
"2007","Annual","Sherman-Denison MSA","BEA","Per Capita Personal Income - BEA","$30,901"
"2006","Annual","Sherman-Denison MSA","BEA","Per Capita Personal Income - BEA","$28,995"
"2005","Annual","Sherman-Denison MSA","BEA","Per Capita Personal Income - BEA","$27,231"
"2004","Annual","Sherman-Denison MSA","BEA","Per Capita Personal Income - BEA","$25,944"
"2003","Annual","Sherman-Denison MSA","BEA","Per Capita Personal Income - BEA","$25,161"
"2002","Annual","Sherman-Denison MSA","BEA","Per Capita Personal Income - BEA","$24,272"
"2001","Annual","Sherman-Denison MSA","BEA","Per Capita Personal Income - BEA","$23,986"
"2000","Annual","Sherman-Denison MSA","BEA","Per Capita Personal Income - BEA","$23,402"
"1999","Annual","Sherman-Denison MSA","BEA","Per Capita Personal Income - BEA","$21,938"
"1998","Annual","Sherman-Denison MSA","BEA","Per Capita Personal Income - BEA","$21,271"
"2015","Annual","Texarkana MSA","BEA","Per Capita Personal Income - BEA","$35,026"
"2014","Annual","Texarkana MSA","BEA","Per Capita Personal Income - BEA","$33,637"
"2013","Annual","Texarkana MSA","BEA","Per Capita Personal Income - BEA","$32,741"
"2012","Annual","Texarkana MSA","BEA","Per Capita Personal Income - BEA","$33,853"
"2011","Annual","Texarkana MSA","BEA","Per Capita Personal Income - BEA","$33,181"
"2010","Annual","Texarkana MSA","BEA","Per Capita Personal Income - BEA","$31,845"
"2009","Annual","Texarkana MSA","BEA","Per Capita Personal Income - BEA","$30,933"
"2008","Annual","Texarkana MSA","BEA","Per Capita Personal Income - BEA","$31,217"
"2007","Annual","Texarkana MSA","BEA","Per Capita Personal Income - BEA","$29,826"
"2006","Annual","Texarkana MSA","BEA","Per Capita Personal Income - BEA","$27,986"
"2005","Annual","Texarkana MSA","BEA","Per Capita Personal Income - BEA","$27,020"
"2004","Annual","Texarkana MSA","BEA","Per Capita Personal Income - BEA","$26,063"
"2003","Annual","Texarkana MSA","BEA","Per Capita Personal Income - BEA","$24,660"
"2002","Annual","Texarkana MSA","BEA","Per Capita Personal Income - BEA","$24,178"
"2001","Annual","Texarkana MSA","BEA","Per Capita Personal Income - BEA","$23,673"
"2000","Annual","Texarkana MSA","BEA","Per Capita Personal Income - BEA","$22,284"
"1999","Annual","Texarkana MSA","BEA","Per Capita Personal Income - BEA","$21,219"
"1998","Annual","Texarkana MSA","BEA","Per Capita Personal Income - BEA","$20,426"
"2015","Annual","Tyler MSA","BEA","Per Capita Personal Income - BEA","$50,224"
"2014","Annual","Tyler MSA","BEA","Per Capita Personal Income - BEA","$50,325"
"2013","Annual","Tyler MSA","BEA","Per Capita Personal Income - BEA","$48,098"
"2012","Annual","Tyler MSA","BEA","Per Capita Personal Income - BEA","$47,107"
"2011","Annual","Tyler MSA","BEA","Per Capita Personal Income - BEA","$45,908"
"2010","Annual","Tyler MSA","BEA","Per Capita Personal Income - BEA","$41,224"
"2009","Annual","Tyler MSA","BEA","Per Capita Personal Income - BEA","$38,296"
"2008","Annual","Tyler MSA","BEA","Per Capita Personal Income - BEA","$43,001"
"2007","Annual","Tyler MSA","BEA","Per Capita Personal Income - BEA","$36,694"
"2006","Annual","Tyler MSA","BEA","Per Capita Personal Income - BEA","$36,130"
"2005","Annual","Tyler MSA","BEA","Per Capita Personal Income - BEA","$33,944"
"2004","Annual","Tyler MSA","BEA","Per Capita Personal Income - BEA","$30,753"
"2003","Annual","Tyler MSA","BEA","Per Capita Personal Income - BEA","$29,464"
"2002","Annual","Tyler MSA","BEA","Per Capita Personal Income - BEA","$28,533"
"2001","Annual","Tyler MSA","BEA","Per Capita Personal Income - BEA","$28,149"
"2000","Annual","Tyler MSA","BEA","Per Capita Personal Income - BEA","$27,139"
"1999","Annual","Tyler MSA","BEA","Per Capita Personal Income - BEA","$25,192"
"1998","Annual","Tyler MSA","BEA","Per Capita Personal Income - BEA","$24,524"
"2015","Annual","Victoria MSA","BEA","Per Capita Personal Income - BEA","$47,005"
"2014","Annual","Victoria MSA","BEA","Per Capita Personal Income - BEA","$46,957"
"2013","Annual","Victoria MSA","BEA","Per Capita Personal Income - BEA","$44,137"
"2012","Annual","Victoria MSA","BEA","Per Capita Personal Income - BEA","$42,497"
"2011","Annual","Victoria MSA","BEA","Per Capita Personal Income - BEA","$39,138"
"2010","Annual","Victoria MSA","BEA","Per Capita Personal Income - BEA","$36,327"
"2009","Annual","Victoria MSA","BEA","Per Capita Personal Income - BEA","$34,306"
"2008","Annual","Victoria MSA","BEA","Per Capita Personal Income - BEA","$38,142"
"2007","Annual","Victoria MSA","BEA","Per Capita Personal Income - BEA","$35,417"
"2006","Annual","Victoria MSA","BEA","Per Capita Personal Income - BEA","$34,564"
"2005","Annual","Victoria MSA","BEA","Per Capita Personal Income - BEA","$31,716"
"2004","Annual","Victoria MSA","BEA","Per Capita Personal Income - BEA","$29,397"
"2003","Annual","Victoria MSA","BEA","Per Capita Personal Income - BEA","$28,489"
"2002","Annual","Victoria MSA","BEA","Per Capita Personal Income - BEA","$28,099"
"2001","Annual","Victoria MSA","BEA","Per Capita Personal Income - BEA","$27,956"
"2000","Annual","Victoria MSA","BEA","Per Capita Personal Income - BEA","$26,320"
"1999","Annual","Victoria MSA","BEA","Per Capita Personal Income - BEA","$24,253"
"1998","Annual","Victoria MSA","BEA","Per Capita Personal Income - BEA","$23,692"
"2015","Annual","Waco MSA","BEA","Per Capita Personal Income - BEA","$36,917"
"2014","Annual","Waco MSA","BEA","Per Capita Personal Income - BEA","$35,414"
"2013","Annual","Waco MSA","BEA","Per Capita Personal Income - BEA","$33,921"
"2012","Annual","Waco MSA","BEA","Per Capita Personal Income - BEA","$33,473"
"2011","Annual","Waco MSA","BEA","Per Capita Personal Income - BEA","$32,229"
"2010","Annual","Waco MSA","BEA","Per Capita Personal Income - BEA","$31,076"
"2009","Annual","Waco MSA","BEA","Per Capita Personal Income - BEA","$30,144"
"2008","Annual","Waco MSA","BEA","Per Capita Personal Income - BEA","$30,284"
"2007","Annual","Waco MSA","BEA","Per Capita Personal Income - BEA","$29,145"
"2006","Annual","Waco MSA","BEA","Per Capita Personal Income - BEA","$27,966"
"2005","Annual","Waco MSA","BEA","Per Capita Personal Income - BEA","$26,971"
"2004","Annual","Waco MSA","BEA","Per Capita Personal Income - BEA","$25,670"
"2003","Annual","Waco MSA","BEA","Per Capita Personal Income - BEA","$25,253"
"2002","Annual","Waco MSA","BEA","Per Capita Personal Income - BEA","$23,951"
"2001","Annual","Waco MSA","BEA","Per Capita Personal Income - BEA","$23,306"
"2000","Annual","Waco MSA","BEA","Per Capita Personal Income - BEA","$22,494"
"1999","Annual","Waco MSA","BEA","Per Capita Personal Income - BEA","$21,857"
"1998","Annual","Waco MSA","BEA","Per Capita Personal Income - BEA","$20,996"
"2015","Annual","Wichita Falls MSA","BEA","Per Capita Personal Income - BEA","$42,398"
"2014","Annual","Wichita Falls MSA","BEA","Per Capita Personal Income - BEA","$42,147"
"2013","Annual","Wichita Falls MSA","BEA","Per Capita Personal Income - BEA","$42,296"
"2012","Annual","Wichita Falls MSA","BEA","Per Capita Personal Income - BEA","$42,168"
"2011","Annual","Wichita Falls MSA","BEA","Per Capita Personal Income - BEA","$41,297"
"2010","Annual","Wichita Falls MSA","BEA","Per Capita Personal Income - BEA","$36,973"
"2009","Annual","Wichita Falls MSA","BEA","Per Capita Personal Income - BEA","$35,739"
"2008","Annual","Wichita Falls MSA","BEA","Per Capita Personal Income - BEA","$40,212"
"2007","Annual","Wichita Falls MSA","BEA","Per Capita Personal Income - BEA","$34,555"
"2006","Annual","Wichita Falls MSA","BEA","Per Capita Personal Income - BEA","$33,466"
"2005","Annual","Wichita Falls MSA","BEA","Per Capita Personal Income - BEA","$30,250"
"2004","Annual","Wichita Falls MSA","BEA","Per Capita Personal Income - BEA","$28,531"
"2003","Annual","Wichita Falls MSA","BEA","Per Capita Personal Income - BEA","$28,530"
"2002","Annual","Wichita Falls MSA","BEA","Per Capita Personal Income - BEA","$27,436"
"2001","Annual","Wichita Falls MSA","BEA","Per Capita Personal Income - BEA","$26,510"
"2000","Annual","Wichita Falls MSA","BEA","Per Capita Personal Income - BEA","$24,601"
"1999","Annual","Wichita Falls MSA","BEA","Per Capita Personal Income - BEA","$23,562"
"1998","Annual","Wichita Falls MSA","BEA","Per Capita Personal Income - BEA","$22,696"
